FLP FEC Layout for: demo.txt
========================================================================
File size:      291816 bytes
CRC-32:         0xD462B47D (3563238525)
Fragment size:  1456 bytes
Data fragments: 201
FEC group size: 7 data + 1 parity
Full groups:    28
Trailing frags: 5 (no parity)
Total seqs:     229
========================================================================

  seq     type  group  idx  data_idx      offset  length       crc32  first_8_hex
-----------------------------------------------------------------------------------------------------
    0     DATA      0    0         0           0    1456  0xD6ACEDAF  54686520636f6e63
    1     DATA      0    1         1        1456    1456  0xE0BAFD49  732c20636f6e7665
    2     DATA      0    2         2        2912    1456  0xAFBC34AD  616c20616666696c
    3     DATA      0    3         3        4368    1456  0x416FAB2A  6620686967686c79
    4     DATA      0    4         4        5824    1456  0x6D0204CE  6769642c206f7267
    5     DATA      0    5         5        7280    1456  0xD744612D  6d20612064697374
    6     DATA      0    6         6        8736    1456  0xF66D278B  64652d626f776c65
    7   PARITY      0    7         -           -    1456  0x94EECD09  4e242525267e7065
    8     DATA      1    0         7       10192    1456  0xED36EBAD  732070756c736573
    9     DATA      1    1         8       11648    1456  0x5840367F  6f676963616c2075
   10     DATA      1    2         9       13104    1456  0x862B4CFA  6c696b6520706f6c
   11     DATA      1    3        10       14560    1456  0x4D833489  792072656c696573
   12     DATA      1    4        11       16016    1456  0x28C9C78B  6b2c206f72207472
   13     DATA      1    5        12       17472    1456  0x0A2B3BC0  666f726d69746965
   14     DATA      1    6        13       18928    1456  0xCAC1E73A  63616c2064657669
   15   PARITY      1    7         -           -    1456  0x96FDBED0  672c3e343e372467
   16     DATA      2    0        14       20384    1456  0x8EA66A8A  6e672074656d7065
   17     DATA      2    1        15       21840    1456  0xC015B379  6e2062696f6c6f67
   18     DATA      2    2        16       23296    1456  0xFD1F9352  6f6e656e7469616c
   19     DATA      2    3        17       24752    1456  0x10D47E78  20746f206d616e69
   20     DATA      2    4        18       26208    1456  0x610BC724  20756e6976657273
   21     DATA      2    5        19       27664    1456  0xF4A16112  652e204265636175
   22     DATA      2    6        20       29120    1456  0x116648F7  73756573206f6620
   23   PARITY      2    7         -           -    1456  0x27B4DA18  7973630b20606521
   24     DATA      3    0        21       30576    1456  0x65236A70  6d7061676e652069
   25     DATA      3    1        22       32032    1456  0xBD25B01F  2065787472656d65
   26     DATA      3    2        23       33488    1456  0x3306F916  6f70696120617320
   27     DATA      3    3        24       34944    1456  0xB9B78DFB  2072687974686d73
   28     DATA      3    4        25       36400    1456  0x8D6E2CFD  696c6c696e672074
   29     DATA      3    5        26       37856    1456  0x3CEB35D1  73656e7473206f6e
   30     DATA      3    6        27       39312    1456  0xCB76049D  65206c696768742e
   31   PARITY      3    7         -           -    1456  0x2844B333  7d3e767f3226686b
   32     DATA      4    0        28       40768    1456  0x0D682FD9  6c697479206f6620
   33     DATA      4    1        29       42224    1456  0x196D69A2  7373206172652074
   34     DATA      4    2        30       43680    1456  0x036205EF  7472756374757265
   35     DATA      4    3        31       45136    1456  0xBB2FA72C  6b20696e20746865
   36     DATA      4    4        32       46592    1456  0x8D9C535B  696d697a65732074
   37     DATA      4    5        33       48048    1456  0x9EE4F28F  6563747572652c20
   38     DATA      4    6        34       49504    1456  0x181CBACF  6576657220646576
   39   PARITY      4    7         -           -    1456  0xA72CFFA3  6930306831793576
   40     DATA      5    0        35       50960    1456  0x0832F81E  2074686520657965
   41     DATA      5    1        36       52416    1456  0x0DD2677C  6174696c69747920
   42     DATA      5    2        37       53872    1456  0x5EBCD4E7  776c656467652061
   43     DATA      5    3        38       55328    1456  0x07AA41C4  6172736967687465
   44     DATA      5    4        39       56784    1456  0xA3AF2E9E  792063656c656272
   45     DATA      5    5        40       58240    1456  0x548EE138  6f74746f6d2e0a0a
   46     DATA      5    6        41       59696    1456  0xCFB16CC4  6420737472756374
   47   PARITY      5    7         -           -    1456  0x6466A923  256a737a3a225f4d
