timestamp_ms,node_addr,role,session_id,file,size_bytes,hops,exits,elapsed_ms,progress_pct,sent_bytes,tx_Bps,acked_frags,ack_fps,inflight,max_inflight,mesh_retx,oow_queued,oow_sent,cong,bp,mesh_ms,cloud_wait_ms,e2e_Bps,mesh_Bps,result
5988,0x7AE0,source,65479,demo-large.jpg,1061002,2,0,494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,periodic
7011,0x7AE0,source,65479,demo-large.jpg,1061002,2,0,1517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,periodic
8033,0x7AE0,source,65479,demo-large.jpg,1061002,2,0,2539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,periodic
9054,0x7AE0,source,65479,demo-large.jpg,1061002,2,0,3560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,periodic
10078,0x7AE0,source,65479,demo-large.jpg,1061002,2,0,4584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,periodic
74633,0x7AE0,source,61348,demo-large.jpg,1061002,2,0,524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,periodic
75655,0x7AE0,source,61348,demo-large.jpg,1061002,2,0,1546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,periodic
76678,0x7AE0,source,61348,demo-large.jpg,1061002,2,0,2569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,periodic
77699,0x7AE0,source,61348,demo-large.jpg,1061002,2,0,3590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,periodic
78721,0x7AE0,source,61348,demo-large.jpg,1061002,2,0,4612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,periodic
11127,0x7AE0,source,44907,demo-large.jpg,1061002,2,0,546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,periodic
12151,0x7AE0,source,44907,demo-large.jpg,1061002,2,0,1570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,periodic
13173,0x7AE0,source,44907,demo-large.jpg,1061002,2,0,2592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,periodic
14194,0x7AE0,source,44907,demo-large.jpg,1061002,2,0,3613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,periodic
15215,0x7AE0,source,44907,demo-large.jpg,1061002,2,0,4634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,periodic
17059,0x7AE0,source,44907,demo-large.jpg,1061002,2,2,6478,0,2912,1579,0,0,2,2,0,0,0,0,0,0,0,0,0,periodic
18061,0x7AE0,source,44907,demo-large.jpg,1061002,2,2,7480,3,33488,30514,2,1,24,24,0,0,0,0,0,0,0,0,0,periodic
19074,0x7AE0,source,44907,demo-large.jpg,1061002,2,2,8493,3,37856,4311,5,2,24,24,24,0,0,0,0,0,0,0,0,periodic
20084,0x7AE0,source,44907,demo-large.jpg,1061002,2,2,9503,4,46592,8649,12,6,24,24,27,0,0,0,0,0,0,0,0,periodic
21114,0x7AE0,source,44907,demo-large.jpg,1061002,2,2,10533,6,66976,19790,28,15,24,24,28,1,1,0,0,0,0,0,0,periodic
22140,0x7AE0,source,44907,demo-large.jpg,1061002,2,2,11559,7,75712,8514,35,6,24,24,34,8,8,0,0,0,0,0,0,periodic
23148,0x7AE0,source,44907,demo-large.jpg,1061002,2,2,12567,8,88816,13000,45,9,24,24,38,14,14,0,0,0,0,0,0,periodic
24170,0x7AE0,source,44907,demo-large.jpg,1061002,2,2,13589,9,99008,9972,53,7,24,24,43,14,14,0,0,0,0,0,0,periodic
25200,0x7AE0,source,44907,demo-large.jpg,1061002,2,2,14619,10,112112,12722,63,9,24,24,48,16,16,0,0,0,0,0,0,periodic
26225,0x7AE0,source,44907,demo-large.jpg,1061002,2,2,15644,11,123760,11363,73,9,24,24,53,16,16,0,0,0,0,0,0,periodic
27238,0x7AE0,source,44907,demo-large.jpg,1061002,2,2,16657,12,129584,5749,77,3,24,24,59,16,16,0,0,0,0,0,0,periodic
28248,0x7AE0,source,44907,demo-large.jpg,1061002,2,2,17667,13,142688,12974,88,10,24,24,60,16,16,0,0,0,0,0,0,periodic
29252,0x7AE0,source,44907,demo-large.jpg,1061002,2,2,18671,14,154336,11601,97,8,24,24,69,16,16,0,0,0,0,0,0,periodic
30276,0x7AE0,source,44907,demo-large.jpg,1061002,2,2,19695,15,167440,12796,107,9,24,24,74,16,16,0,0,0,0,0,0,periodic
31299,0x7AE0,source,44907,demo-large.jpg,1061002,2,2,20718,16,180544,12809,117,9,24,24,79,17,17,0,0,0,0,0,0,periodic
32318,0x7AE0,source,44907,demo-large.jpg,1061002,2,2,21737,17,187824,7144,123,5,24,24,88,17,17,0,0,0,0,0,0,periodic
33321,0x7AE0,source,44907,demo-large.jpg,1061002,2,2,22740,19,203840,15968,136,12,24,24,94,17,17,0,0,0,0,0,0,periodic
34322,0x7AE0,source,44907,demo-large.jpg,1061002,2,2,23741,20,222768,18909,150,13,24,24,102,19,19,0,0,0,0,0,0,periodic
35341,0x7AE0,source,44907,demo-large.jpg,1061002,2,2,24760,21,232960,10001,158,7,24,24,107,19,19,0,0,0,0,0,0,periodic
36368,0x7AE0,source,44907,demo-large.jpg,1061002,2,2,25787,22,243152,9924,166,7,24,24,116,19,19,0,0,0,0,0,0,periodic
37377,0x7AE0,source,44907,demo-large.jpg,1061002,2,2,26796,23,248976,5772,171,4,24,24,120,19,19,0,0,0,0,0,0,periodic
38378,0x7AE0,source,44907,demo-large.jpg,1061002,2,2,27797,24,262080,13090,181,9,24,24,125,20,20,0,0,0,0,0,0,periodic
39547,0x7AE0,source,44907,demo-large.jpg,1061002,2,2,28966,24,264992,2491,203,18,4,24,125,21,21,0,0,0,0,0,0,periodic
40950,0x7AE0,source,44907,demo-large.jpg,1061002,2,2,30369,25,266448,1037,207,2,2,24,125,23,23,0,0,0,0,0,0,periodic
42330,0x7AE0,source,44907,demo-large.jpg,1061002,2,2,31749,25,269360,2110,209,1,2,24,125,25,25,0,0,0,0,0,0,periodic
44171,0x7AE0,source,44907,demo-large.jpg,1061002,2,2,33590,25,272272,1581,211,1,2,24,125,27,27,0,0,0,0,0,0,periodic
45195,0x7AE0,source,44907,demo-large.jpg,1061002,2,2,34614,26,276640,4265,212,0,5,24,125,27,27,0,0,0,0,0,0,periodic
46590,0x7AE0,source,44907,demo-large.jpg,1061002,2,2,36009,28,305760,20874,228,11,12,24,125,29,29,0,0,0,0,0,0,periodic
