timestamp_ms,node_addr,role,session_id,file,size_bytes,hops,exits,elapsed_ms,progress_pct,sent_bytes,tx_Bps,acked_frags,ack_fps,inflight,max_inflight,mesh_retx,oow_queued,oow_sent,cong,bp,mesh_ms,cloud_wait_ms,e2e_Bps,mesh_Bps,result
6547,0x7AE0,source,58366,demo-large.jpg,1061002,2,0,586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,periodic
7570,0x7AE0,source,58366,demo-large.jpg,1061002,2,0,1609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,periodic
8591,0x7AE0,source,58366,demo-large.jpg,1061002,2,0,2630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,periodic
9612,0x7AE0,source,58366,demo-large.jpg,1061002,2,0,3651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,periodic
10636,0x7AE0,source,58366,demo-large.jpg,1061002,2,0,4675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,periodic
74113,0x7AE0,source,42085,demo-large.jpg,1061002,2,0,573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,periodic
75135,0x7AE0,source,42085,demo-large.jpg,1061002,2,0,1595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,periodic
76156,0x7AE0,source,42085,demo-large.jpg,1061002,2,0,2616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,periodic
77177,0x7AE0,source,42085,demo-large.jpg,1061002,2,0,3637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,periodic
78198,0x7AE0,source,42085,demo-large.jpg,1061002,2,0,4658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,periodic
22559,0x7AE0,source,55115,demo-large.jpg,1061002,2,0,590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,periodic
23582,0x7AE0,source,55115,demo-large.jpg,1061002,2,0,1613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,periodic
24603,0x7AE0,source,55115,demo-large.jpg,1061002,2,0,2634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,periodic
25624,0x7AE0,source,55115,demo-large.jpg,1061002,2,0,3655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,periodic
26645,0x7AE0,source,55115,demo-large.jpg,1061002,2,0,4676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,periodic
27653,0x7AE0,source,55115,demo-large.jpg,1061002,2,1,5684,0,8736,8666,1,0,5,5,0,0,0,0,0,0,0,0,0,periodic
28675,0x7AE0,source,55115,demo-large.jpg,1061002,2,1,6706,3,37856,28493,5,3,24,24,0,0,0,0,0,0,0,0,0,periodic
29676,0x7AE0,source,55115,demo-large.jpg,1061002,2,1,7707,4,50960,13090,16,10,24,24,0,7,7,0,0,0,0,0,0,periodic
30702,0x7AE0,source,55115,demo-large.jpg,1061002,2,1,8733,6,66976,15610,28,11,24,24,0,8,8,0,0,0,0,0,0,periodic
31730,0x7AE0,source,55115,demo-large.jpg,1061002,2,1,9761,6,74256,7081,34,5,24,24,0,16,16,0,0,0,0,0,0,periodic
32743,0x7AE0,source,55115,demo-large.jpg,1061002,2,1,10774,8,90272,15810,46,11,24,24,0,16,16,0,0,0,0,0,0,periodic
33749,0x7AE0,source,55115,demo-large.jpg,1061002,2,1,11780,9,99008,8683,53,6,24,24,0,23,23,0,0,0,0,0,0,periodic
34778,0x7AE0,source,55115,demo-large.jpg,1061002,2,1,12809,10,109200,9904,61,7,24,24,0,31,31,0,0,0,0,0,0,periodic
35806,0x7AE0,source,55115,demo-large.jpg,1061002,2,1,13837,11,122304,12747,72,10,24,24,0,32,32,0,0,0,0,0,0,periodic
36812,0x7AE0,source,55115,demo-large.jpg,1061002,2,1,14843,12,132496,10131,80,7,24,24,0,39,39,0,0,0,0,0,0,periodic
37816,0x7AE0,source,55115,demo-large.jpg,1061002,2,1,15847,13,144144,11601,89,8,24,24,0,47,47,0,0,0,0,0,0,periodic
38846,0x7AE0,source,55115,demo-large.jpg,1061002,2,1,16877,14,154336,9895,97,7,24,24,7,49,49,0,0,0,0,0,0,periodic
39855,0x7AE0,source,55115,demo-large.jpg,1061002,2,1,17886,15,160160,5772,101,3,24,24,15,54,54,0,0,0,0,0,0,periodic
40855,0x7AE0,source,55115,demo-large.jpg,1061002,2,1,18886,15,168896,8736,108,7,24,24,24,55,55,0,0,0,0,0,0,periodic
41865,0x7AE0,source,55115,demo-large.jpg,1061002,2,1,19896,16,171808,2883,110,1,24,24,30,61,61,0,0,0,0,0,0,periodic
42892,0x7AE0,source,55115,demo-large.jpg,1061002,2,1,20923,17,183456,11341,120,9,24,24,35,63,63,0,0,0,0,0,0,periodic
43920,0x7AE0,source,55115,demo-large.jpg,1061002,2,1,21951,17,189280,5665,124,3,24,24,41,69,69,0,0,0,0,0,0,periodic
44949,0x7AE0,source,55115,demo-large.jpg,1061002,2,1,22980,17,189280,0,124,0,24,24,44,69,69,0,0,0,0,0,0,periodic
45967,0x7AE0,source,55115,demo-large.jpg,1061002,2,1,23998,18,196560,7151,130,5,24,24,53,69,69,0,0,0,0,0,0,periodic
46994,0x7AE0,source,55115,demo-large.jpg,1061002,2,1,25025,18,202384,5670,134,3,24,24,56,77,77,0,0,0,0,0,0,periodic
47999,0x7AE0,source,55115,demo-large.jpg,1061002,2,1,26030,19,205296,2897,137,2,24,24,56,77,77,0,0,0,0,0,0,periodic
